Time	Male	Female	Zombie
1195	22214	20384	0
1196	22214	20384	0
1197	22214	20384	0
1198	22214	20384	0
1199	22214	20384	0
1200	22214	20384	0
1201	22214	20384	0
1202	22214	20384	0
1203	22214	20384	0
1204	22214	20384	0
1205	22214	20384	0
1206	22214	20384	0
1207	22214	20384	0
1208	22214	20384	0
1209	22214	20384	0
1210	22213	20384	0
1211	22213	20384	0
1212	22213	20384	0
1213	22213	20384	0
1214	22213	20384	0
1215	22213	20384	0
1216	22213	20384	0
1217	22213	20384	0
1218	22213	20384	0
1219	22213	20384	0
1220	22213	20384	0
1221	22213	20384	0
1222	22213	20384	0
1223	22213	20384	0
1224	22213	20384	0
1225	22213	20384	0
1226	22213	20384	0
1227	22213	20384	0
1228	22213	20384	0
1229	22213	20384	0
1230	22213	20384	0
1231	22213	20384	0
1232	22213	20384	0
1233	22213	20384	0
1234	22213	20384	0
1235	22213	20384	0
1236	22213	20384	0
1237	22213	20384	0
1238	22213	20384	0
1239	22213	20384	0
1240	22213	20384	0
1241	22213	20384	0
1242	22213	20384	0
1243	22213	20384	0
1244	22212	20384	0
1245	22212	20384	0
1246	22212	20384	0
1247	22212	20384	0
1248	22212	20384	0
1249	22212	20384	0
1250	22212	20383	0
1251	22212	20383	0
1252	22212	20383	0
1253	22212	20383	0
1254	22212	20383	0
1255	22212	20383	0
1256	22212	20383	0
1257	22212	20383	0
1258	22212	20383	0
1259	22212	20383	0
1260	22212	20383	0
1261	22212	20383	0
1262	22212	20383	0
1263	22212	20383	0
1264	22212	20383	0
1265	22212	20383	0
1266	22212	20383	0
1267	22212	20383	0
1268	22212	20383	0
1269	22212	20383	0
1270	22212	20383	0
1271	22212	20383	0
1272	22212	20383	0
1273	22212	20383	0
1274	22212	20383	0
1275	22212	20383	0
1276	22212	20383	0
1277	22212	20383	0
1278	22212	20383	0
1279	22212	20383	0
1280	22212	20383	0
1281	22212	20383	0
1282	22212	20383	0
1283	22212	20383	0
1284	22212	20383	0
1285	22212	20383	0
1286	22212	20383	0
1287	22212	20383	0
1288	22212	20383	0
1289	22212	20383	0
1290	22212	20383	0
1291	22212	20383	0
1292	22212	20383	0
1293	22212	20383	0
1294	22212	20383	0
1295	22212	20383	0
1296	22211	20383	0
1297	22211	20383	0
1298	22211	20382	0
1299	22211	20382	0
1300	22211	20382	0
1301	22211	20382	0
1302	22211	20382	0
1303	22211	20382	0
1304	22211	20382	0
1305	22211	20382	0
1306	22211	20381	0
1307	22211	20381	0
1308	22211	20380	0
1309	22211	20380	0
1310	22211	20379	0
1311	22210	20379	0
1312	22210	20379	0
1313	22210	20379	0
1314	22210	20379	0
1315	22210	20379	0
1316	22210	20379	0
1317	22210	20379	0
1318	22210	20379	0
1319	22210	20379	0
1320	22210	20379	0
1321	22210	20379	0
1322	22210	20378	0
1323	22210	20378	0
1324	22210	20378	0
1325	22210	20378	0
1326	22210	20378	0
1327	22210	20378	0
1328	22210	20378	0
1329	22210	20378	0
1330	22210	20378	0
1331	22210	20378	0
1332	22210	20378	0
1333	22210	20377	0
1334	22210	20377	0
1335	22210	20377	0
1336	22210	20377	0
1337	22210	20377	0
1338	22210	20377	0
1339	22210	20377	0
1340	22210	20377	0
1341	22210	20377	0
1342	22210	20377	0
1343	22210	20377	0
1344	22210	20376	0
1345	22210	20376	0
1346	22210	20376	0
